회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),상장일,상장폐지일
(주)경농,002100,2011/12,173774102,142986220,7676752,509664,121253605,1977/06/30,
(주)경농,002100,2012/12,269412832,151738994,12731056,10310339,136970449,1977/06/30,
(주)경농,002100,2013/12,255984725,163157512,18783505,13950249,196358952,1977/06/30,
(주)경농,002100,2014/12,284623063,168915900,14653846,7099305,188483147,1977/06/30,
(주)경농,002100,2015/12,316341853,174667648,12111543,6980392,196418710,1977/06/30,
(주)경농,002100,2016/12,320915151,183969132,9168484,6365805,203984939,1977/06/30,
(주)경농,002100,2017/12,335873898,192152986,8447803,10079442,206534382,1977/06/30,
(주)경농,002100,2018/12,357260541,201453891,14769793,4878426,212654617,1977/06/30,
(주)경농,002100,2019/12,370874091,201885272,8690743,4014664,227510941,1977/06/30,
(주)경농,002100,2020/12,371525656,211372233,14281977,13294936,248295524,1977/06/30,
(주)경동나비엔,009450,2011/12,263211016,168114574,12421333,9467023,341246917,1993/08/31,
(주)경동나비엔,009450,2012/12,299729837,175875394,13925116,9169965,379014259,1993/08/31,
(주)경동나비엔,009450,2013/12,354779867,187280988,19784395,11129597,414177562,1993/08/31,
(주)경동나비엔,009450,2014/12,401658957,190021880,13464776,9380054,428985365,1993/08/31,
(주)경동나비엔,009450,2015/12,402084368,206076609,24222981,16752000,512031120,1993/08/31,
(주)경동나비엔,009450,2016/12,429754702,238762190,45831937,37469924,583252904,1993/08/31,
(주)경동나비엔,009450,2017/12,503697210,256506497,47757034,27019124,684660958,1993/08/31,
(주)경동나비엔,009450,2018/12,583595818,280103616,40802217,24748538,726741615,1993/08/31,
(주)경동나비엔,009450,2019/12,609808343,301042624,44824995,27852090,774290704,1993/08/31,
(주)경동나비엔,009450,2020/12,734688738,348163846,67099323,41637325,873409019,1993/08/31,
(주)경동도시가스,267290,2017/12,710280194,294331882,21664503,17798556,871548284,2017/05/12,
(주)경동도시가스,267290,2018/12,778269612,320490074,42657143,34164798,1606531867,2017/05/12,
(주)경동도시가스,267290,2019/12,749999474,339612043,28055130,24638348,1422707835,2017/05/12,
(주)경동도시가스,267290,2020/12,699658165,356677691,18135395,19017069,1086830628,2017/05/12,
(주)경동인베스트,012320,2011/12,1001490869,407862543,35856991,30327559,1847666903,1997/03/07,
(주)경동인베스트,012320,2012/12,1209924561,446509347,49896945,42879202,2502642394,1997/03/07,
(주)경동인베스트,012320,2013/12,1205008353,498740561,50540286,49841905,2788264380,1997/03/07,
(주)경동인베스트,012320,2014/12,1320789066,607451423,47933045,75930406,2603059058,1997/03/07,
(주)경동인베스트,012320,2015/12,1167819522,576479441,-13298185,-21251390,1604168482,1997/03/07,
(주)경동인베스트,012320,2016/12,1126122628,587924566,28667528,19132415,1181902637,1997/03/07,
(주)경동인베스트,012320,2017/12,599276331,400403090,36380462,51930860,195069859,1997/03/07,
(주)경동인베스트,012320,2018/12,592002536,397867310,39212613,29827973,228644016,1997/03/07,
(주)경동인베스트,012320,2019/12,605467383,414533638,21959506,8856009,271765025,1997/03/07,
(주)경동인베스트,012320,2020/12,589277835,430745334,19465612,16483709,310532988,1997/03/07,
(주)경방,000050,2011/12,1352324332,629704391,22188217,-1131177,348136369,1956/03/03,
(주)경방,000050,2012/12,1335039930,620704205,7253943,-7910168,333620804,1956/03/03,
(주)경방,000050,2013/12,1296989142,636438555,36031739,14574395,347189559,1956/03/03,
(주)경방,000050,2014/12,1301841379,647668814,30618157,11488471,329036023,1956/03/03,
(주)경방,000050,2015/12,1318643312,662952918,38961511,16692163,357628146,1956/03/03,
(주)경방,000050,2016/12,1301910960,679843399,43436569,29474988,377445013,1956/03/03,
(주)경방,000050,2017/12,1274042237,699134073,42309232,25315361,360788750,1956/03/03,
(주)경방,000050,2018/12,1301792841,708769347,40979751,20189241,351438926,1956/03/03,
(주)경방,000050,2019/12,1370742491,741553199,32020530,43621631,343892085,1956/03/03,
(주)경방,000050,2020/12,1264902051,741929808,21853997,13025703,329224741,1956/03/03,
(주)경보제약,214390,2011/12,,,,,,2015/06/29,
(주)경보제약,214390,2012/12,,,,,,2015/06/29,
(주)경보제약,214390,2013/12,,,,,,2015/06/29,
(주)경보제약,214390,2014/12,,,,,,2015/06/29,
(주)경보제약,214390,2015/12,,,,,,2015/06/29,
(주)경보제약,214390,2016/12,,,,,,2015/06/29,
(주)경보제약,214390,2017/12,,,,,,2015/06/29,
(주)경보제약,214390,2018/12,,,,,,2015/06/29,
(주)경보제약,214390,2019/12,,,,,,2015/06/29,
(주)경보제약,214390,2020/12,,,,,,2015/06/29,
(주)경인양행,012610,2011/12,319596954,176292506,6353143,2886360,233095049,1995/10/05,
(주)경인양행,012610,2012/12,287452678,174988685,3641265,2093491,218604655,1995/10/05,
(주)경인양행,012610,2013/12,316944796,189744314,11145943,10215710,260808400,1995/10/05,
(주)경인양행,012610,2014/12,313039125,198238667,14093166,10148247,277181095,1995/10/05,
(주)경인양행,012610,2015/12,326687437,201125304,6718134,3670895,263163677,1995/10/05,
(주)경인양행,012610,2016/12,344298515,208293196,10577181,6837522,274873817,1995/10/05,
(주)경인양행,012610,2017/12,357951470,210934933,7364797,4779249,299987729,1995/10/05,
(주)경인양행,012610,2018/12,412996589,223759383,19691167,13801882,331102011,1995/10/05,
(주)경인양행,012610,2019/12,472081003,237433141,23555055,16372880,358802386,1995/10/05,
(주)경인양행,012610,2020/12,505102151,228381756,3369847,-7581553,329312078,1995/10/05,
(주)고려시멘트,198440,2014/12,,,,,,2014/08/13,
(주)고려시멘트,198440,2015/12,,,,,,2014/08/13,
(주)고려시멘트,198440,2016/12,,,,,,2014/08/13,
(주)고려시멘트,198440,2017/12,,,,,,2014/08/13,
(주)고려시멘트,198440,2018/12,,,,,,2014/08/13,
(주)고려시멘트,198440,2019/12,,,,,,2014/08/13,
(주)고려시멘트,198440,2020/12,,,,,,2014/08/13,
(주)고바이오랩,348150,2019/12,35321574,-53623865,-7351899,-44066665,576519,2020/11/18,
(주)고바이오랩,348150,2020/12,58537097,55390674,-12344974,-55072387,4591485,2020/11/18,
(주)고영테크놀러지,098460,2011/12,87006201,69622726,18820907,15634438,86130810,2008/06/03,
(주)고영테크놀러지,098460,2012/12,103351965,83401095,21443286,15221925,107841666,2008/06/03,
(주)고영테크놀러지,098460,2013/12,120951617,98319609,16773438,13933294,111902729,2008/06/03,
(주)고영테크놀러지,098460,2014/12,141720465,115835240,28155311,22111066,142840131,2008/06/03,
(주)고영테크놀러지,098460,2015/12,158857627,131475647,23449593,23530903,145904431,2008/06/03,
(주)고영테크놀러지,098460,2016/12,195121241,157267580,33184488,29723733,171793841,2008/06/03,
(주)고영테크놀러지,098460,2017/12,205207385,161317171,43748905,26734105,203368626,2008/06/03,
(주)고영테크놀러지,098460,2018/12,279059436,225866639,45983316,42309672,238208865,2008/06/03,
(주)고영테크놀러지,098460,2019/12,305481184,243668528,33331312,29559680,222057035,2008/06/03,
(주)고영테크놀러지,098460,2020/12,302574461,246058103,15842903,9161038,179545134,2008/06/03,
(주)골드앤에스,035290,2011/12,46677146,22436829,1295340,1002287,47522791,1999/12/07,
(주)골드앤에스,035290,2012/12,51950606,25517817,-2330876,-6467495,43889087,1999/12/07,
(주)골드앤에스,035290,2013/12,51442505,13127355,-6493110,-16837473,39548810,1999/12/07,
(주)골드앤에스,035290,2014/12,46528474,12082621,-3079598,-9319175,31287203,1999/12/07,
(주)골드앤에스,035290,2015/12,24102094,15160254,1143768,-9502547,22197935,1999/12/07,
(주)골드앤에스,035290,2016/12,18671644,14268527,402070,390367,15893494,1999/12/07,
(주)골드앤에스,035290,2017/12,17173934,13346076,-3694041,-7975875,12802035,1999/12/07,
(주)골드앤에스,035290,2018/12,42472631,13779569,-4667030,-4380399,8680452,1999/12/07,
(주)골드앤에스,035290,2019/12,16096170,-5091573,-7142117,-24883278,7642733,1999/12/07,
(주)골드앤에스,035290,2020/12,20634172,14398168,-2343112,1635730,4138760,1999/12/07,
(주)골드퍼시픽,038530,2011/12,,,,,,2000/06/09,
