회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS),매출액(수익)(*)(IFRS),당기순이익(손실)(IFRS),자본(*)(IFRS),이자비용(IFRS),이자수익(IFRS),배당금수익(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS),* 발행한 주식총수(*)(IFRS),자산(*)(IFRS),현금및현금성자산(*)(IFRS),유동부채(*)(IFRS),재고자산(*)(IFRS),유동자산(*)(IFRS),부채(*)(IFRS),합계_기말인원,법인세비용차감전(계속사업)손익(IFRS),인건비(IFRS),금융비용(IFRS),임차료(IFRS),세금과공과(IFRS),감가상각비(IFRS),상장일,상장폐지일
(주)SNT홀딩스,036530,2018/12,5392033,7292112,6218079,422573122,0,1663983,0,6691516,16303886,422804813,3600593,231691,0,0,231691,10,7053.79,1459.7,-1663.98,0,0,14.84,2002/10/22,
(주)SNT홀딩스,036530,2019/12,8991504,11015928,9244252,416939604,0,574906,0,10098608,16303886,417172874,1989989,233270,0,0,233270,10,9569.63,1566.93,-574.91,0,0,39.45,2002/10/22,
(주)SNT홀딩스,036530,2020/12,22973048,25309708,22951239,423684010,353,264678,0,22924890,16303886,423961201,2433859,254248,0,0,277191,9,23237.09,1730.5,-264.33,45.76,0,50.9,2002/10/22,
(주)STX,011810,2011/12,61711000,4173397000,84657000,1164648000,91958000,12861000,175000,-108220000,59943040,3302248000,88385000,1568777000,240418000,0,2137600000,392,84026,47445,78922,21110,1594,3731,1990/09/12,
(주)STX,011810,2012/12,17733000,4116767000,-23863000,1123534000,92496000,16438000,2000,159192000,60394160,3226878000,17643000,1821548000,108537000,0,2103344000,375,-45763,37191,76056,17061,2517,5093,1990/09/12,
(주)STX,011810,2013/12,-67233000,1895063000,-1646014000,-522090000,83645000,15781000,2000,85353000,61478240,1086567000,43139000,1071743000,47749000,0,1608657000,177,-1625720,25021,67862,7990,1309,5027,1990/09/12,
(주)STX,011810,2014/12,23414000,1291351000,334488000,54894000,44568000,10716000,2000,-78562000,29845269,1070433000,78042000,671976000,148535000,0,1015539000,124,335500,11322,33850,4553,585,4637,1990/09/12,
(주)STX,011810,2015/12,-16336000,1362127000,-53449000,72316000,39104000,10668000,2000,28936000,29879719,1057543000,46446000,677923000,143454000,0,985227000,127,-53325,10529,28434,2690,395,4065,1990/09/12,
(주)STX,011810,2016/12,-105780000,1465561000,-456150000,-328883000,35884000,3987000,2000,31638000,47331679,627686000,19366000,914419000,139765000,0,956569000,120,-456269,9722,31895,2659,115,3139,1990/09/12,
(주)STX,011810,2017/12,30170000,1595494000,336179000,44710000,19326000,2363000,2000,93844000,19133430,520393000,74336000,453983000,103343000,0,475683000,119,336179,9265,16961,2938,126,1248,1990/09/12,
(주)STX,011810,2018/12,-6902000,1329890000,5024000,62213000,11938000,2385000,2000,-51274000,19726902,446758000,18077000,361935000,89120000,0,384545000,110,5024,9581,9551,2821,82,1177,1990/09/12,
(주)STX,011810,2019/12,-13697000,1237876000,-37142000,50616000,13062000,3435000,2000,12558000,19726902,462734000,19163000,377150000,89664000,0,412118000,116,-37142,9440,9625,1152,85,1750,1990/09/12,
(주)STX,011810,2020/12,-7439000,788462000,-16578000,25856000,10360000,2743000,2000,66336000,19726902,362854000,10341000,315721000,42740000,0,336998000,85,-16578,8108,7615,140,94,5242,1990/09/12,
(주)TCC스틸,002710,2011/12,12575854,456928069,6828699,205616971,6999989,389459,791689,-8210627,16000000,407743559,2600896,143961450,76580688,0,202126588,315,8515.34,27343.36,5818.84,0,0,5494.27,1984/12/21,
(주)TCC스틸,002710,2012/12,11675644,440568155,4206491,209755733,8080856,630365,937695,10878979,17000000,438642951,4197045,115747321,75866000,0,228887219,319,5250.91,25858.96,6512.8,0,0,6427.82,1984/12/21,
(주)TCC스틸,002710,2013/12,8348275,419483813,391783,210086242,8267162,1598781,838811,21218485,18000000,444204925,2180002,98538725,62722660,0,234118683,311,1001.19,23854.36,5829.57,0,0,6401.17,1984/12/21,
(주)TCC스틸,002710,2014/12,10868549,401323585,1022624,210093654,8269613,2998802,901989,13870764,19000000,461297588,722769,189566139,59114758,0,251203934,306,3227.52,24331.48,4368.82,0,0,6350.61,1984/12/21,
(주)TCC스틸,002710,2015/12,14570434,350074629,-140083396,76555951,6899745,1033843,889168,36353152,22342500,330651742,1974872,121276743,45683627,0,254095791,281,-149783.73,24885.12,4976.73,0,0,6113.63,1984/12/21,
