회사명,거래소코드,회계년도,매출액(영업수익)(*)(연결),영업이익(손실)(연결),당기순이익(순손실)(연결)
(주)까뮤이앤씨,013700,2007/12,106906756,6899486,2180402
(주)까뮤이앤씨,013700,2008/12,181107493,4204260,1735499
(주)까뮤이앤씨,013700,2009/12,,,
(주)까뮤이앤씨,013700,2010/12,,,
(주)나노엔텍,039860,2000/12,,,
(주)나노엔텍,039860,2001/12,,,
(주)나노엔텍,039860,2002/12,,,
(주)나노엔텍,039860,2003/12,,,
(주)나노엔텍,039860,2004/12,,,
(주)나노엔텍,039860,2005/12,,,
(주)나노엔텍,039860,2006/12,,,
(주)나노엔텍,039860,2007/12,11116848,-5167134,-17601486
(주)나노엔텍,039860,2008/12,,,
(주)나노엔텍,039860,2009/12,,,
(주)나노엔텍,039860,2010/12,,,
(주)나노트로닉스,010670,2000/12,,,
(주)나노트로닉스,010670,2001/12,,,
(주)나노트로닉스,010670,2002/12,8763513,-350565,1273978
(주)나노트로닉스,010670,2003/12,,,
(주)나노트로닉스,010670,2004/12,,,
(주)나노트로닉스,010670,2005/12,,,
(주)나노트로닉스,010670,2006/12,,,
(주)나노트로닉스,010670,2007/12,,,
(주)나노트로닉스,010670,2008/12,10523852,4764899,5826880
(주)나노트로닉스,010670,2009/12,13859073,3062988,766224
(주)나노트로닉스,010670,2010/12,18587615,-1589282,-6867694
(주)나노하이텍,071360,2003/12,,,
(주)나노하이텍,071360,2004/12,,,
(주)나노하이텍,071360,2005/12,,,
(주)나노하이텍,071360,2006/12,89456108,-4269555,-5266087
(주)나노하이텍,071360,2007/12,60242887,-5817507,-5424109
(주)나노하이텍,071360,2008/12,,,
(주)나리지*온,036850,2000/12,,,
(주)나리지*온,036850,2001/12,,,
(주)나리지*온,036850,2002/12,,,
(주)나리지*온,036850,2003/12,22699731,-7753373,-11273862
(주)나리지*온,036850,2004/12,29137713,-9152701,-2033661
(주)나리지*온,036850,2005/12,25250066,-11884277,-12090929
(주)나리지*온,036850,2006/12,,,
(주)나리지*온,036850,2007/12,,,
(주)나리지*온,036850,2008/12,,,
(주)나리지*온,036850,2009/12,,,
(주)나이스홀딩스,034310,2004/12,188408136,14005051,9873326
(주)나이스홀딩스,034310,2005/12,203713685,17884778,12663106
(주)나이스홀딩스,034310,2006/12,236009324,23886501,18097556
(주)나이스홀딩스,034310,2007/12,272971365,30569592,23273768
(주)나이스홀딩스,034310,2008/12,476099600,49192702,27206632
(주)나이스홀딩스,034310,2009/12,521984812,60353132,40303946
(주)나이스홀딩스,034310,2010/12,101591581,20141333,26607159
(주)남선알미늄,008350,2000/12,,,
(주)남선알미늄,008350,2001/12,,,
(주)남선알미늄,008350,2002/12,,,
(주)남선알미늄,008350,2003/12,,,
(주)남선알미늄,008350,2004/12,,,
(주)남선알미늄,008350,2005/12,,,
(주)남선알미늄,008350,2006/12,,,
(주)남선알미늄,008350,2007/12,,,
(주)남선알미늄,008350,2008/12,,,
(주)남선알미늄,008350,2009/12,246114002,6403277,2564719
(주)남선알미늄,008350,2010/12,270881073,338159,5797653
(주)남성,004270,2000/12,82643343,6094247,519488
(주)남성,004270,2001/12,79515518,5991905,1735630
(주)남성,004270,2002/12,82472866,3684688,539902
(주)남성,004270,2003/12,91530403,6582858,-1580728
(주)남성,004270,2004/12,152717062,13281017,1489622
(주)남성,004270,2005/12,143802338,10287595,3764813
(주)남성,004270,2006/12,152452328,8717296,3586417
(주)남성,004270,2007/12,108091187,1044567,-1166018
(주)남성,004270,2008/12,80512898,-1834780,-1946158
(주)남성,004270,2009/12,97744106,-331108,-3232268
(주)남성,004270,2010/12,82108071,3063357,-1145510
(주)남성알미늄,033220,2000/12,,,
