회사명,거래소코드,회계년도,상장일,상장폐지일,자산(*)(연결)(천원),자본(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원)
(주)경윤하이드로에너지,019120,2009/12,1992/12/18,2011/04/06,54244776,21338785,10621807,-8118074,-9335728
(주)경윤하이드로에너지,019120,2010/12,1992/12/18,2011/04/06,,,,,
(주)경인양행,012610,2000/12,1995/10/05,,,,,,
(주)경인양행,012610,2001/12,1995/10/05,,,,,,
(주)경인양행,012610,2002/12,1995/10/05,,,,,,
(주)경인양행,012610,2003/12,1995/10/05,,,,,,
(주)경인양행,012610,2004/12,1995/10/05,,112246826,61135307,95832343,2407076,4301525
(주)경인양행,012610,2005/12,1995/10/05,,124089684,68927317,121277652,1576316,2662004
(주)경인양행,012610,2006/12,1995/10/05,,121822538,67613429,123483434,118253,1019469
(주)경인양행,012610,2007/12,1995/10/05,,145685594,71116587,135076471,3970512,4364667
(주)경인양행,012610,2008/12,1995/10/05,,205081368,108808981,239873963,43275195,17239950
(주)경인양행,012610,2009/12,1995/10/05,,277912006,167806441,267965327,26166680,14623313
(주)경인양행,012610,2010/12,1995/10/05,,302443032,172766739,281113744,11667251,9765114
(주)고영테크놀러지,098460,2005/12,2008/06/03,,,,,,
(주)고영테크놀러지,098460,2006/12,2008/06/03,,,,,,
(주)고영테크놀러지,098460,2007/12,2008/06/03,,,,,,
(주)고영테크놀러지,098460,2008/12,2008/06/03,,,,,,
(주)고영테크놀러지,098460,2009/12,2008/06/03,,,,,,
(주)고영테크놀러지,098460,2010/12,2008/06/03,,,,,,
(주)고제,002540,2000/12,1989/10/12,2010/04/23,,,,,
(주)고제,002540,2001/12,1989/10/12,2010/04/23,,,,,
(주)고제,002540,2002/12,1989/10/12,2010/04/23,,,,,
(주)고제,002540,2003/12,1989/10/12,2010/04/23,,,,,
(주)고제,002540,2004/12,1989/10/12,2010/04/23,,,,,
(주)고제,002540,2005/12,1989/10/12,2010/04/23,,,,,
(주)고제,002540,2006/12,1989/10/12,2010/04/23,,,,,
(주)고제,002540,2007/12,1989/10/12,2010/04/23,,,,,
(주)고제,002540,2008/12,1989/10/12,2010/04/23,41678933,22571937,5363256,-5204889,-7730982
(주)고제,002540,2009/12,1989/10/12,2010/04/23,,,,,
(주)고합,004460,2000/12,1973/10/25,2002/04/12,2511327446,-505090693,1372885066,-84449861,-1273290440
