,회사명,거래소코드,회계년도,영업이익,당기순이익,매출액
298,(주)구영테크,53270,2004/12,1598292.0,1928845.0,27350457.0
299,(주)구영테크,53270,2005/12,964811.0,-52936.0,53949208.0
300,(주)구영테크,53270,2006/12,1360381.0,-2027741.0,61547440.0
301,(주)구영테크,53270,2007/12,2676506.0,797372.0,112614461.0
302,(주)구영테크,53270,2008/12,-2830185.0,-10494118.0,101874939.0
303,(주)구영테크,53270,2009/12,6732516.0,469663.0,109296046.0
304,(주)구영테크,53270,2010/12,6192148.0,1669452.0,150546089.0
305,(주)국동,5320,2000/12,7376472.0,120919.0,106425696.0
306,(주)국동,5320,2001/12,5245225.0,1581037.0,110939349.0
307,(주)국동,5320,2002/12,583759.0,-3296708.0,134619687.0
308,(주)국동,5320,2003/12,4912032.0,-3913783.0,193529528.0
309,(주)국동,5320,2004/12,-922021.0,-7267881.0,212750909.0
310,(주)국동,5320,2005/12,5512652.0,-49157.0,202875903.0
311,(주)국동,5320,2006/12,2507103.0,-783597.0,201286605.0
312,(주)국동,5320,2007/12,-3888154.0,-11077656.0,179640756.0
313,(주)국동,5320,2008/12,-688902.0,-11113224.0,194280502.0
314,(주)국동,5320,2009/12,965893.0,-10923490.0,147358171.0
315,(주)국동,5320,2010/12,2629529.0,-2295051.0,150494430.0
316,(주)국보,1140,2000/12,883482.0,901950.0,52926932.0
317,(주)국보,1140,2001/12,1501578.0,69650.0,67366863.0
318,(주)국보,1140,2002/12,2362569.0,548998.0,78433900.0
319,(주)국보,1140,2003/12,2076675.0,295666.0,80177102.0
320,(주)국보,1140,2004/12,2237575.0,595436.0,86078688.0
321,(주)국보,1140,2005/12,1772491.0,47302.0,88760140.0
322,(주)국보,1140,2006/12,-529584.0,-584866.0,84814290.0
323,(주)국보,1140,2007/12,2086417.0,270808.0,91718679.0
324,(주)국보,1140,2008/12,1795384.0,-405381.0,105396941.0
325,(주)국보,1140,2009/12,2714627.0,493317.0,97001521.0
326,(주)국보,1140,2010/12,2405561.0,869318.0,108593661.0
327,(주)국보디자인,66620,2002/12,5949710.0,4428313.0,58040225.0
