회사명,거래소코드,회계년도,상장일,상장폐지일,매출액증가율_계산
(주)골드퍼시픽,38530,2010/12,2000/06/09,,29.396470680698243
(주)골드퍼시픽,38530,2011/12,2000/06/09,,4.840897720989798
(주)골드퍼시픽,38530,2012/12,2000/06/09,,-6.6377322977593955
(주)골드퍼시픽,38530,2013/12,2000/06/09,,-31.676682825204878
(주)골드퍼시픽,38530,2014/12,2000/06/09,,130.00339572690876
(주)골드퍼시픽,38530,2015/12,2000/06/09,,13.03539062869152
(주)골드퍼시픽,38530,2016/12,2000/06/09,,-48.54873585380008
(주)골드퍼시픽,38530,2017/12,2000/06/09,,-47.524128868076055
(주)골드퍼시픽,38530,2018/12,2000/06/09,,13.45225491156705
(주)골드퍼시픽,38530,2019/12,2000/06/09,,98.36313243864484
(주)골드퍼시픽,38530,2020/12,2000/06/09,,26.602726720759506
(주)골프존,215000,2016/12,2015/04/03,,7.642351295521661
(주)골프존,215000,2017/12,2015/04/03,,-7.770410955363347
(주)골프존,215000,2018/12,2015/04/03,,-0.6996950370949906
(주)골프존,215000,2019/12,2015/04/03,,24.313861166608458
(주)골프존,215000,2020/12,2015/04/03,,20.85109804039096
(주)골프존뉴딘홀딩스,121440,2010/12,2011/05/20,,38.47518806462561
(주)골프존뉴딘홀딩스,121440,2011/12,2011/05/20,,17.083173297837693
(주)골프존뉴딘홀딩스,121440,2012/12,2011/05/20,,34.21583500358956
(주)골프존뉴딘홀딩스,121440,2013/12,2011/05/20,,26.066760095038155
(주)골프존뉴딘홀딩스,121440,2014/12,2011/05/20,,17.655055458910475
(주)골프존뉴딘홀딩스,121440,2015/12,2011/05/20,,-61.69915642212015
(주)골프존뉴딘홀딩스,121440,2016/12,2011/05/20,,47.85506673876903
(주)골프존뉴딘홀딩스,121440,2017/12,2011/05/20,,-12.13380551409878
(주)골프존뉴딘홀딩스,121440,2018/12,2011/05/20,,4.3413330344767065
(주)골프존뉴딘홀딩스,121440,2019/12,2011/05/20,,2.644787754107001
(주)골프존뉴딘홀딩스,121440,2020/12,2011/05/20,,27.557930241279895
(주)공구우먼,366030,2018/12,2022/03/23,,
(주)공구우먼,366030,2019/12,2022/03/23,,
(주)공구우먼,366030,2020/12,2022/03/23,,
(주)광림,14200,2010/12,1993/07/07,,27.729646913848693
(주)광림,14200,2011/12,1993/07/07,,13.978606771657914
(주)광림,14200,2012/12,1993/07/07,,-19.881423381786114
(주)광림,14200,2013/12,1993/07/07,,21.23654410827691
(주)광림,14200,2014/12,1993/07/07,,123.74472088907214
(주)광림,14200,2015/12,1993/07/07,,2.4958600118384258
(주)광림,14200,2016/12,1993/07/07,,-63.197916103290034
(주)광림,14200,2017/12,1993/07/07,,54.853337344193584
(주)광림,14200,2018/12,1993/07/07,,1.0383355445907354
(주)광림,14200,2019/12,1993/07/07,,6.785653679152944
(주)광림,14200,2020/12,1993/07/07,,10.527687866131687
(주)광명전기,17040,2010/12,1990/09/14,,10.24659822923651
(주)광명전기,17040,2011/12,1990/09/14,,-0.4313856176915397
(주)광명전기,17040,2012/12,1990/09/14,,26.881553964886123
(주)광명전기,17040,2013/12,1990/09/14,,0.5428501311683778
(주)광명전기,17040,2014/12,1990/09/14,,14.361610036599547
(주)광명전기,17040,2015/12,1990/09/14,,-13.697619040358452
(주)광명전기,17040,2016/12,1990/09/14,,-16.65625244993299
(주)광명전기,17040,2017/12,1990/09/14,,4.763884179215538
(주)광명전기,17040,2018/12,1990/09/14,,12.356588998752958
(주)광명전기,17040,2019/12,1990/09/14,,15.558266803027877
(주)광명전기,17040,2020/12,1990/09/14,,-6.306460033828415
(주)광무,29480,2010/12,1996/08/27,,-3.6191308552246673
(주)광무,29480,2011/12,1996/08/27,,-35.51964560122827
(주)광무,29480,2012/12,1996/08/27,,-20.43543304719315
